Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper;Anno;# Pl;Poss;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;Mis;Dis;Rec;Prog
90;Alavés;es ESP;20;38;8;7;23;31;65;-34;31;0.82;41.1;64.6;-23.4;-0.62;10952;Joselu - 14;Fernando Pacheco;21-22;33;42;38;18239;2225;6202;8058;4181;601;18232;271;504;53.8;616;278;9503;683
69;Angers;fr FRA;14;38;10;11;17;44;55;-11;41;1.08;49.6;55.3;-5.7;-0.15;7758;Sofiane Boufal - 8;Danijel Petkovi?;21-22;30;48.4;38;22975;2195;7992;10842;4405;579;22966;401;839;47.8;727;373;15120;980
88;Arminia;de GER;17;34;5;13;16;27;53;-26;28;0.82;32.5;70.6;-38.1;-1.12;16773;Masaya Okugawa - 8;Stefan Ortega;21-22;26;40.7;34;17533;2301;6763;7249;3737;550;17531;284;568;50;618;306;9206;682
19;Arsenal;eng ENG;5;38;22;3;13;61;48;13;69;1.82;67.3;51.2;16;0.42;59665;Bukayo Saka - 11;Aaron Ramsdale;21-22;27;52.8;38;23628;2229;7136;10298;6399;962;23621;319;590;54.1;557;336;15988;1058
63;Aston Villa;eng ENG;14;38;13;6;19;52;54;-2;45;1.18;47.9;54.4;-6.5;-0.17;41681;Ollie Watkins - 11;Emiliano Martínez;21-22;31;46.5;38;20477;2409;6868;8846;4984;814;20474;333;587;56.7;595;344;12580;916
34;Atalanta;it ITA;8;38;16;11;11;65;48;17;59;1.55;71.2;50.4;20.8;0.55;10447;Mario Pašali? - 13;Juan Musso;21-22;32;55;38;25437;1873;6726;11547;7432;1125;25431;372;679;54.8;696;376;16893;1323
39;Athletic Club;es ESP;8;38;14;13;11;43;36;7;55;1.45;54.4;43.4;11;0.29;32949;Iñaki Williams - 8;Unai Simón;21-22;26;48.1;38;21164;2069;6216;9489;5675;803;21157;297;530;56;569;341;12771;1119
15;Atlético Madrid;es ESP;3;38;21;8;9;65;43;22;71;1.87;58.6;38.7;19.9;0.52;48039;Ángel Correa - 12;Jan Oblak;21-22;26;50.6;38;22888;2006;6771;10682;5624;852;22883;383;600;63.8;555;353;14879;1029
65;Augsburg;de GER;14;34;10;8;16;39;56;-17;38;1.12;40.7;64.5;-23.8;-0.7;15197;Michael Gregoritsch - 9;Rafa? Gikiewicz;21-22;26;41.5;34;16948;2234;6472;6988;3701;603;16943;262;511;51.3;597;298;9026;657
11;Barcelona;es ESP;2;38;21;10;7;68;38;30;73;1.92;67.7;39.8;27.9;0.73;53982;Memphis - 12;Marc-André ter Stegen;21-22;38;64.2;38;28599;2231;7060;14269;7478;1037;28592;474;747;63.5;623;358;21236;1383
3;Bayern Munich;de GER;1;34;24;5;5;97;37;60;77;2.26;95.4;39.5;56;1.65;33176;Robert Lewandowski - 35;Manuel Neuer;21-22;30;64.5;34;27523;2047;7342;13149;7291;1256;27518;493;832;59.3;598;338;19868;1674
23;Betis;es ESP;5;38;19;8;11;62;40;22;65;1.71;59;48.8;10.2;0.27;41749;Juanmi - 16;Rui Silva;21-22;31;53.7;38;23532;2305;7314;10899;5521;822;23526;372;655;56.8;588;364;15479;1065
58;Bochum;de GER;13;34;12;6;16;38;52;-14;42;1.24;47.5;60.3;-12.7;-0.37;14236;Sebastian Polter - 10;Manuel Riemann;21-22;28;44.7;34;17867;2414;6793;7472;3831;585;17861;233;461;50.5;615;286;9613;717
62;Bologna;it ITA;13;38;12;10;16;44;55;-11;46;1.21;48.1;59.7;-11.6;-0.31;14158;Marko Arnautovi? - 14;?ukasz Skorupski;21-22;36;50.6;38;22039;2583;7500;9871;4881;627;22034;326;598;54.5;563;302;14225;890
91;Bordeaux;fr FRA;20;38;6;13;19;52;91;-39;31;0.82;49.4;72.8;-23.4;-0.61;22141;Hwang Ui-jo - 11;Benoît Costil;21-22;39;47.4;38;21474;2363;7603;9984;4135;639;21470;355;657;54;676;313;13333;957
61;Brentford;eng ENG;13;38;13;7;18;48;56;-8;46;1.21;51.1;54;-2.8;-0.07;16918;Ivan Toney - 12;David Raya;21-22;29;44.8;38;20340;2790;7848;8156;4515;807;20334;262;476;55;563;291;11492;869
53;Brest;fr FRA;11;38;13;9;16;49;57;-8;48;1.26;48.9;64.3;-15.4;-0.41;11804;Franck Honorat - 11;Marco Bizot;21-22;25;43.9;38;20601;2285;6760;9210;4878;692;20593;315;640;49.2;665;312;12480;937
45;Brighton;eng ENG;9;38;12;15;11;42;44;-2;51;1.34;53;49.8;3.2;0.08;30966;Leandro Trossard, Neal Maupay - 8;Robert Sánchez;21-22;26;54.4;38;24676;2636;8026;10462;6403;861;24669;317;559;56.7;598;349;16197;1044
